,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
80,node,4475184475,40.7433061,-73.9942688,New York,,Peleton,POINT (-73.9942688 40.7433061),83,10011,0,New York,50594.0,18118416.8463268,NY,New York,36,061,http://www.usps.com/,0.0,0.0
12,node,368062558,40.7707317,-73.9804233,,,West Side YMCA,POINT (-73.9804233 40.7707317),60,10023,0,New York,62800.0,15212712.6781593,NY,New York,36,061,http://www.usps.com/,0.0,0.0
16,node,1669534151,40.7744583,-73.9811766,,,Equinox,POINT (-73.9811766 40.7744583),60,10023,0,New York,62800.0,15212712.6781593,NY,New York,36,061,http://www.usps.com/,0.0,0.0
14,node,1453985752,40.6401153,-74.0223438,,,Father Tom Joyce Sports Complex,POINT (-74.0223438 40.6401153),129,11220,0,Brooklyn,97257.0,47453785.7906374,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
24,node,1725365402,40.6815332,-73.9799836,,,Class One MMA,POINT (-73.9799836 40.6815332),116,11217,0,Brooklyn,36615.0,21648157.7960373,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
26,node,2014444456,40.6796547,-73.9842356,,,Brooklyn Boulders,POINT (-73.98423560000001 40.6796547),116,11217,0,Brooklyn,36615.0,21648157.7960373,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
89,node,5745779290,40.68249,-73.9860889,,,Gotham Archery,POINT (-73.9860889 40.68249),116,11217,0,Brooklyn,36615.0,21648157.7960373,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
127,way,241845996,40.67923,-73.9829519,,,Homage Skateboard Academy,POINT (-73.9829519 40.67923),116,11217,0,Brooklyn,36615.0,21648157.7960373,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
128,way,241845999,40.6792121,-73.9841723,,,Brooklyn Fencing Center,POINT (-73.9841723 40.6792121),116,11217,0,Brooklyn,36615.0,21648157.7960373,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
133,way,248157003,40.6816549,-73.9842801,,,Court 16,POINT (-73.98428010000001 40.6816549),116,11217,0,Brooklyn,36615.0,21648157.7960373,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
25,node,2012413416,40.7452448,-73.9326999,,,Cityview Racquet club,POINT (-73.9326999 40.7452448),76,11101,0,Long Island City,26254.0,78962088.741757,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
